city,region,magnitude,url,place,date,intensity,significance,tsunami,latitude,longitude,depth_km
Kermadec Islands,New Zealand,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000h1d2,"Kermadec Islands, New Zealand",2022-03-02,6.345,670,1,-30.0581,-177.771,36.21
the Fiji Islands,the Fiji Islands,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us7000glex,south of the Fiji Islands,2022-02-16,3.057,712,1,-23.7764,-179.9745,535.0
Barranca,Peru,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ghm5,"49 km NW of Barranca, Peru",2022-02-03,5.803,690,0,-4.4661,-76.9283,110.0
Kermadec Islands ,Kermadec Islands ,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gg3w,Kermadec Islands region,2022-01-29,3.687,651,1,-29.5642,-176.7217,8.0
Labuan,Indonesia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gbu4,"80 km SW of Labuan, Indonesia",2022-01-14,6.201,785,0,-6.8575,105.2858,33.0
Nikolski,Alaska,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gawk,"53 km SE of Nikolski, Alaska",2022-01-11,5.381,674,1,52.5791,-168.3275,19.0
Nikolski,Alaska,6.8,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gavu,"100 km SE of Nikolski, Alaska",2022-01-11,6.389,730,1,52.3415,-167.7554,20.0
Polis,Cyprus,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gaqu,"48 km WNW of Pólis, Cyprus",2022-01-11,5.546,976,0,35.2288,31.944,21.0
Jinchang,China,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000g9zq,"108 km SW of Jinchang, China",2022-01-07,8.434,1012,0,37.8283,101.29,13.0
Lospalos,Timor Leste,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us7000g7lx,"125 km NNE of Lospalos, Timor Leste",2021-12-29,6.966,921,0,-7.5482,127.5773,165.49
Flores Sea,Flores Sea,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000gc2a,Flores Sea,2021-12-14,5.361,854,1,-7.6033,122.2274,14.27
Macquarie Island,Macquarie Island,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000gbls,west of Macquarie Island,2021-12-12,0.0,670,0,-60.7956,154.1393,10.0
Barranca,Peru,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fxq2,"43 km NNW of Barranca, Peru",2021-11-28,7.627,1088,1,-4.4667,-76.8126,126.0
Hirara,Japan,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fszl,"177 km SE of Hirara, Japan",2021-11-10,4.053,688,1,23.5935,126.4474,12.0
Chignik,Alaska,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/ak021d1u1nos,"112 km E of Chignik, Alaska",2021-10-11,6.005,995,1,56.2954,-156.581,51.6
Vanuatu ,Vanuatu ,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000ft9g,Vanuatu region,2021-10-09,3.209,740,1,-21.1889,174.5221,535.0
Vanuatu ,Vanuatu ,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us6000fr0b,Vanuatu region,2021-10-02,3.533,826,1,-21.1265,174.8958,527.0
Jiquilillo,Nicaragua,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fdds,"80 km SW of Jiquilillo, Nicaragua",2021-09-22,4.701,684,1,12.1396,-87.8647,21.0
Acapulco,Mexico,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000f93v,"Acapulco, Mexico",2021-09-08,7.735,2502,1,16.9465,-99.753,20.0
South Sandwich Islands ,South Sandwich Islands ,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f9sq,South Sandwich Islands region,2021-08-22,3.787,776,1,-60.2845,-24.8743,6.0
South Sandwich Islands ,South Sandwich Islands ,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f9gd,South Sandwich Islands region,2021-08-22,3.251,670,1,-60.1401,-24.221,7.0
Port Olry,Vanuatu,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f7vg,"17 km N of Port-Olry, Vanuatu",2021-08-18,7.205,741,1,-14.8818,167.0585,93.0
South Sandwich Islands ,South Sandwich Islands ,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f6wt,South Sandwich Islands region,2021-08-16,3.643,734,1,-58.3686,-23.3552,16.7
Nippes,Haiti,7.2,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f65h,"Nippes, Haiti",2021-08-14,8.677,2329,1,18.4335,-73.4822,10.0
Perryville,Alaska,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f652,"125 km SE of Perryville, Alaska",2021-08-14,4.148,738,1,55.1767,-157.6441,20.74
South Sandwich Islands ,South Sandwich Islands ,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f8yd,South Sandwich Islands region,2021-08-12,,691,0,-59.9811,-26.4306,35.0
South Sandwich Islands ,South Sandwich Islands ,8.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f53e,South Sandwich Islands region,2021-08-12,6.543,1009,0,-58.3753,-25.2637,22.79
South Sandwich Islands ,South Sandwich Islands ,7.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f4ly,South Sandwich Islands region,2021-08-12,5.922,868,1,-57.5674,-25.0316,47.23
Pondaguitan,Philippines,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000f48v,"60 km ENE of Pondaguitan, Philippines",2021-08-11,6.777,846,1,6.4748,126.7151,55.14
Perryville,Alaska,8.2,https://earthquake.usgs.gov/earthquakes/eventpage/ak0219neiszm,"99 km SE of Perryville, Alaska",2021-07-29,7.355,1252,1,55.3635,-157.8876,35.0
Hukay,Philippines,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000eyfk,"15 km S of Hukay, Philippines",2021-07-23,5.036,935,1,13.7047,120.7259,110.0
Burica,Panama,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000exs5,"71 km S of Burica, Panama",2021-07-21,5.921,830,1,7.3926,-82.779,10.0
Kermadec Islands,New Zealand,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000eeq4,"Kermadec Islands, New Zealand",2021-06-20,3.789,650,1,-30.2162,-177.8449,25.0
Alo,Wallis and Futuna,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e579,"265 km SSE of Alo, Wallis and Futuna",2021-05-21,6.574,652,1,-16.6009,-177.3725,10.0
Southern Qinghai,China,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e54r,"Southern Qinghai, China",2021-05-21,9.115,1023,0,34.5983,98.2513,10.0
southern East Pacific Rise,southern East Pacific Rise,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e4aw,southern East Pacific Rise,2021-05-19,0.0,691,0,-33.0647,-109.3943,10.0
Sinabang,Indonesia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e2zt,"260 km S of Sinabang, Indonesia",2021-05-14,4.411,748,0,0.1364,96.6442,11.0
Mauritius   Reunion ,Mauritius   Reunion ,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us7000e2ec,Mauritius - Reunion region,2021-05-12,2.775,913,0,-17.3874,66.3135,10.0
None,None,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us7000dz5t,,2021-05-01,6.415,919,1,38.1997,141.5973,43.0
Haveluloto,Tonga,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000e4rl,"207 km WSW of Haveluloto, Tonga",2021-04-25,3.643,651,0,-21.6097,-177.1526,246.0
Pangai,Tonga,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us6000e47c,"225 km WNW of Pangai, Tonga",2021-04-24,3.577,652,0,-18.9036,-176.2702,301.0
the South Sandwich Islands,the South Sandwich Islands,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000dynd,east of the South Sandwich Islands,2021-04-03,0.0,670,1,-58.0139,-7.843,10.0
Ishinomaki,Japan,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000dl6y,"30 km E of Ishinomaki, Japan",2021-03-20,7.008,1051,1,38.4515,141.6477,43.0
Ust  Kamchatsk Staryy,Russia,6.6,https://earthquake.usgs.gov/earthquakes/eventpage/us7000djz6,"171 km SSE of Ust’-Kamchatsk Staryy, Russia",2021-03-16,4.824,672,1,54.7368,163.1803,13.23
Kermadec Islands ,Kermadec Islands ,6.5,https://earthquake.usgs.gov/earthquakes/eventpage/us7000dfq2,Kermadec Islands region,2021-03-04,3.743,650,0,-28.5168,-176.6801,24.0
Kermadec Islands,New Zealand,8.1,https://earthquake.usgs.gov/earthquakes/eventpage/us7000dflf,"Kermadec Islands, New Zealand",2021-03-04,8.038,1021,1,-29.7228,-177.2794,28.93
Kermadec Islands,New Zealand,7.4,https://earthquake.usgs.gov/earthquakes/eventpage/us7000dfk3,"Kermadec Islands, New Zealand",2021-03-04,6.815,843,1,-29.6768,-177.8398,43.0
Gisborne,New Zealand,7.3,https://earthquake.usgs.gov/earthquakes/eventpage/us7000dffl,"182 km NE of Gisborne, New Zealand",2021-03-04,6.495,932,1,-37.4787,179.4576,10.0
Namie,Japan,7.1,https://earthquake.usgs.gov/earthquakes/eventpage/us6000dher,"73 km ENE of Namie, Japan",2021-02-13,8.127,1608,1,37.7265,141.7751,43.98
the Loyalty Islands,the Loyalty Islands,7.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000dg77,southeast of the Loyalty Islands,2021-02-10,4.349,918,1,-23.0511,171.6566,10.0
West Chile Rise,West Chile Rise,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000de34,West Chile Rise,2021-02-03,0.0,696,1,-36.2797,-97.8,10.0
South Shetland Islands,South Shetland Islands,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us7000d2rx,South Shetland Islands,2021-01-23,5.203,739,1,-61.8098,-55.5027,15.0
Pondaguitan,Philippines,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000d20e,"211 km SE of Pondaguitan, Philippines",2021-01-21,5.451,802,1,4.9931,127.5145,80.0
Turt,Mongolia,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d7ix,"29 km SSW of Turt, Mongolia",2021-01-11,7.989,781,0,51.2811,100.4383,10.0
Corral,Chile,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d3i9,"146 km WNW of Corral, Chile",2020-12-27,4.769,776,1,-39.3398,-74.9849,10.0
Neon Karlovasion,Greece,7.0,https://earthquake.usgs.gov/earthquakes/eventpage/us7000c7y0,"13 km NNE of Néon Karlovásion, Greece",2020-10-30,7.213,1524,0,37.8973,26.7838,21.0
Sand Point,Alaska,7.6,https://earthquake.usgs.gov/earthquakes/eventpage/us6000c9hg,"99 km SE of Sand Point, Alaska",2020-10-19,7.343,1165,1,54.602,-159.6258,28.37
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.9,https://earthquake.usgs.gov/earthquakes/eventpage/us7000bq10,central Mid-Atlantic Ridge,2020-09-18,3.459,732,1,0.9298,-26.8533,10.0
central Mid Atlantic Ridge,central Mid Atlantic Ridge,6.7,https://earthquake.usgs.gov/earthquakes/eventpage/us7000biu8,central Mid-Atlantic Ridge,2020-09-06,0.0,691,1,7.6829,-37.1544,10.0
